unit_id,process_step,machine_id,speed,force_kN,temperature_C,pressure_bar,power_usage_kW
U-1060,welding,W-01,0.58,,1449.3,2.91,8.64
U-1061,laser_cutting,L-02,22.76,,314.53,15.38,20.03
U-1061,bending,B-02,11.09,84.1,29.05,,7.23
U-1061,welding,W-02,0.54,,1434.52,3.32,9.37
U-1062,laser_cutting,L-01,19.92,,297.24,13.28,15.89
U-1062,bending,B-01,9.14,70.6,26.12,,7.99
U-1062,welding,W-02,0.52,,1520.06,3.3,8.91
U-1063,laser_cutting,L-03,20.85,,309.92,12.94,17.56
U-1063,bending,B-01,10.27,73.77,26.47,,6.69
U-1063,welding,W-01,0.64,,1453.8,3.09,8.9
U-1064,laser_cutting,L-03,23.18,,304.46,13.77,18.37
U-1064,bending,B-01,9.02,73.96,29.08,,7.7
U-1064,welding,W-01,0.61,,1463.15,3.21,8.32
U-1065,laser_cutting,L-02,20.48,,310.4,13.89,19.73
U-1065,bending,B-01,9.63,80.93,27.19,,6.75
U-1065,welding,W-02,0.54,,1444.77,3.45,9.62
U-1066,laser_cutting,L-01,18.19,,286.48,13.64,18.1
U-1066,bending,B-01,9.78,77.41,29.13,,8.0
U-1066,welding,W-01,0.58,,1455.19,3.03,9.97
U-1067,laser_cutting,L-01,20.67,,285.41,12.36,16.41
U-1067,bending,B-01,9.96,84.17,26.78,,6.52
U-1067,welding,W-02,0.5,,1422.5,3.26,8.78
U-1068,laser_cutting,L-02,19.59,,305.53,15.2,19.24
U-1068,bending,B-01,9.63,83.92,26.56,,7.25
U-1068,welding,W-01,0.64,,1514.82,3.17,9.58
U-1069,laser_cutting,L-01,18.53,,313.31,13.83,16.21
U-1069,bending,B-01,10.47,78.66,27.72,,7.19
U-1069,welding,W-02,0.54,,1432.09,3.24,10.48
U-1070,laser_cutting,L-01,18.78,,319.31,13.41,16.62
U-1070,bending,B-01,10.05,83.43,28.6,,7.76
U-1070,welding,W-02,0.57,,1546.26,3.42,9.67
U-1071,laser_cutting,L-02,21.39,,310.28,13.76,19.33
U-1071,bending,B-02,10.68,86.82,26.94,,7.33
U-1071,welding,W-01,0.62,,1387.45,2.99,9.45
U-1072,laser_cutting,L-03,20.14,,306.44,13.54,19.73
U-1072,bending,B-02,10.62,80.92,26.92,,6.69
U-1072,welding,W-02,0.51,,1523.5,3.2,8.97
U-1073,laser_cutting,L-01,19.45,,298.05,11.77,15.4
U-1073,bending,B-01,10.86,82.41,25.85,,7.79
U-1073,welding,W-02,0.55,,1493.86,2.97,8.74
U-1074,laser_cutting,L-02,22.18,,294.78,12.76,17.21
U-1074,bending,B-02,9.93,78.44,26.76,,6.36
U-1074,welding,W-01,0.63,,1561.26,2.92,9.06
U-1075,laser_cutting,L-03,23.79,,309.79,14.09,18.05
U-1075,bending,B-02,11.36,89.6,28.64,,7.94
U-1075,welding,W-01,0.57,,1500.81,2.82,9.37
U-1076,laser_cutting,L-01,21.87,,292.14,11.76,18.36
U-1076,bending,B-01,10.96,73.75,27.07,,7.25
U-1076,welding,W-02,0.56,,1444.61,3.42,9.57
U-1077,laser_cutting,L-02,20.63,,320.73,14.13,16.48
U-1077,bending,B-02,10.01,86.69,27.33,,6.75
U-1077,welding,W-02,0.59,,1569.91,3.44,9.12
U-1078,laser_cutting,L-02,19.01,,297.13,13.9,20.29
U-1078,bending,B-01,10.64,76.13,28.37,,7.99
U-1078,welding,W-02,0.53,,1553.28,3.25,10.06
U-1079,laser_cutting,L-02,21.48,,309.13,15.11,16.96
U-1079,bending,B-01,9.37,84.15,27.95,,6.57
U-1079,welding,W-01,0.63,,1437.76,3.29,9.19
U-1080,laser_cutting,L-02,23.09,,333.99,14.44,16.78
U-1080,bending,B-01,9.42,76.11,29.07,,6.89
U-1080,welding,W-02,0.51,,1546.9,3.51,10.69
U-1081,laser_cutting,L-02,21.89,,327.79,12.88,17.28
U-1081,bending,B-02,10.89,86.08,28.97,,7.39
U-1081,welding,W-01,0.62,,1438.78,3.11,8.26
U-1082,laser_cutting,L-01,19.12,,310.07,13.5,17.48
U-1082,bending,B-01,10.31,84.84,28.71,,7.64
U-1082,welding,W-02,0.59,,1529.86,3.24,8.81
U-1083,laser_cutting,L-02,23.0,,298.96,13.78,16.39
U-1083,bending,B-02,10.52,87.88,27.66,,7.89
U-1083,welding,W-01,0.63,,1434.95,3.2,8.73
U-1084,laser_cutting,L-02,19.19,,305.11,12.73,18.75
U-1084,bending,B-01,10.46,79.54,25.88,,7.84
U-1084,welding,W-01,0.66,,1495.53,3.02,9.99
U-1085,laser_cutting,L-01,20.4,,289.48,11.94,19.17
U-1085,bending,B-01,10.76,79.12,27.47,,7.05
U-1085,welding,W-01,0.59,,1491.94,3.08,9.43
U-1086,laser_cutting,L-03,20.26,,320.0,13.97,19.14
U-1086,bending,B-01,10.27,71.31,26.54,,6.93
U-1086,welding,W-02,0.53,,1587.54,3.09,9.69
U-1087,laser_cutting,L-01,18.03,,293.54,11.8,15.76
U-1087,bending,B-01,10.14,78.2,26.68,,7.93
U-1087,welding,W-01,0.58,,1473.15,3.22,9.21
U-1088,laser_cutting,L-01,19.69,,301.03,14.06,18.33
U-1088,bending,B-01,9.0,80.13,25.83,,6.75
U-1088,welding,W-01,0.57,,1502.91,3.18,9.59
U-1089,laser_cutting,L-01,18.32,,298.84,14.15,18.14
U-1089,bending,B-02,11.21,73.97,28.92,,7.9
U-1089,welding,W-02,0.55,,1560.21,3.51,10.5
U-1090,laser_cutting,L-03,22.34,,305.82,12.94,18.71
U-1090,bending,B-02,11.77,80.42,26.88,,7.25
U-1090,welding,W-02,0.59,,1565.69,3.47,9.57
U-1091,laser_cutting,L-02,21.79,,309.59,13.07,18.14
U-1091,bending,B-01,9.69,72.61,25.74,,7.43
U-1091,welding,W-01,0.61,,1446.23,2.83,10.32
U-1092,laser_cutting,L-01,18.91,,323.12,13.08,15.88
U-1092,bending,B-01,10.51,77.35,26.67,,7.88
U-1092,welding,W-02,0.59,,1516.86,3.41,10.89
U-1093,laser_cutting,L-01,20.21,,306.13,13.68,18.84
U-1093,bending,B-01,9.52,73.24,25.85,,6.9
U-1093,welding,W-01,0.62,,1469.66,2.94,10.34
U-1094,laser_cutting,L-02,21.51,,302.61,13.71,16.38
U-1094,bending,B-01,10.44,78.52,28.7,,6.53
U-1094,welding,W-02,0.57,,1490.76,2.9,10.85
U-1095,laser_cutting,L-02,20.96,,315.55,14.18,18.19
U-1095,bending,B-01,10.73,85.5,27.08,,7.75
U-1095,welding,W-02,0.59,,1485.46,3.42,10.67
U-1096,laser_cutting,L-02,19.03,,333.65,13.22,19.5
U-1096,bending,B-02,10.51,77.26,30.09,,6.32
U-1096,welding,W-02,0.59,,1457.74,2.89,10.3
U-1097,laser_cutting,L-01,21.54,,312.3,11.97,17.0
U-1097,bending,B-02,9.95,78.82,28.6,,7.41
U-1097,welding,W-01,0.62,,1398.79,3.21,8.65
U-1098,laser_cutting,L-02,21.7,,303.01,15.02,18.01
U-1098,bending,B-01,10.17,83.34,27.58,,6.68
U-1098,welding,W-01,0.62,,1400.67,3.23,9.23
U-1099,laser_cutting,L-02,19.89,,306.72,13.41,18.73
U-1099,bending,B-01,9.54,77.95,26.65,,6.53
U-1099,welding,W-01,0.56,,1525.1,3.13,9.44
U-1100,laser_cutting,L-02,20.33,,332.4,12.83,20.39
U-1100,bending,B-01,10.14,84.35,28.96,,7.04
U-1100,welding,W-02,0.57,,1423.5,2.91,9.89
U-1101,laser_cutting,L-03,21.03,,309.39,14.49,20.45
U-1101,bending,B-01,10.27,85.79,26.02,,7.17
U-1101,welding,W-01,0.58,,1447.21,2.73,9.83
U-1102,laser_cutting,L-03,21.43,,340.18,14.65,19.11
U-1102,bending,B-01,10.3,81.72,26.76,,7.43
U-1102,welding,W-02,0.52,,1571.95,3.06,9.42
U-1103,laser_cutting,L-02,20.32,,295.28,12.95,18.06
U-1103,bending,B-01,10.81,74.36,28.19,,7.84
U-1103,welding,W-02,0.52,,1443.4,2.96,10.59
U-1104,laser_cutting,L-03,20.6,,322.12,13.53,17.74
U-1104,bending,B-02,11.11,88.22,29.06,,7.26
U-1104,welding,W-01,0.57,,1416.54,2.79,10.12
U-1105,laser_cutting,L-01,18.23,,322.35,14.15,18.64
U-1105,bending,B-02,10.35,85.7,28.86,,7.87
U-1105,welding,W-01,0.62,,1450.67,3.1,8.68
U-1106,laser_cutting,L-02,20.87,,330.37,14.58,16.48
U-1106,bending,B-01,10.06,73.97,27.41,,7.49
U-1106,welding,W-02,0.58,,1489.39,3.23,9.58
U-1107,laser_cutting,L-01,19.57,,310.71,11.98,18.01
U-1107,bending,B-02,11.15,78.06,28.19,,7.34
U-1107,welding,W-02,0.58,,1575.34,3.48,10.83
U-1108,laser_cutting,L-02,20.55,,328.93,14.76,17.59
U-1108,bending,B-01,10.53,83.54,27.77,,7.76
U-1108,welding,W-01,0.62,,1419.36,2.89,10.01
U-1109,laser_cutting,L-01,20.65,,289.62,12.45,16.99
U-1109,bending,B-01,10.03,77.71,27.88,,6.46
U-1109,welding,W-02,0.56,,1470.01,3.3,9.12
U-1110,laser_cutting,L-01,18.11,,317.75,13.65,16.27
U-1110,bending,B-01,9.86,75.29,28.6,,6.55
U-1110,welding,W-01,0.64,,1453.08,3.16,9.95
U-1111,laser_cutting,L-03,20.71,,306.96,12.79,20.43
U-1111,bending,B-01,10.62,83.24,26.82,,7.51
U-1111,welding,W-02,0.55,,1455.41,3.15,8.64
U-1112,laser_cutting,L-01,19.67,,305.38,11.84,19.44
U-1112,bending,B-01,10.46,85.28,26.44,,7.46
U-1112,welding,W-01,0.58,,1438.82,3.13,9.94
U-1113,laser_cutting,L-02,21.38,,321.14,12.82,18.65
U-1113,bending,B-02,11.04,78.21,28.89,,7.14
U-1113,welding,W-01,0.55,,1474.36,3.01,8.93
U-1114,laser_cutting,L-02,21.9,,313.11,15.18,19.33
U-1114,bending,B-02,10.21,77.3,29.02,,6.58
U-1114,welding,W-01,0.62,,1459.56,3.03,8.8
U-1115,laser_cutting,L-01,21.36,,285.45,13.53,19.42
U-1115,bending,B-02,11.0,85.38,28.54,,7.25
U-1115,welding,W-02,0.54,,1426.51,3.43,8.92
U-1116,laser_cutting,L-03,23.39,,324.86,12.8,17.61
U-1116,bending,B-02,10.31,74.12,28.02,,6.63
U-1116,welding,W-02,0.58,,1478.82,2.92,10.41
U-1117,laser_cutting,L-02,23.02,,326.13,14.65,16.72
U-1117,bending,B-01,9.2,74.53,26.62,,7.06
U-1117,welding,W-02,0.54,,1542.74,3.33,9.55
U-1118,laser_cutting,L-03,22.07,,334.79,14.37,18.67
U-1118,bending,B-01,9.59,71.64,27.75,,7.39
U-1118,welding,W-02,0.57,,1472.82,3.24,9.62
U-1119,laser_cutting,L-02,19.39,,312.6,14.31,17.16
U-1119,bending,B-02,11.6,84.05,27.96,,6.39
U-1119,welding,W-01,0.65,,1419.06,3.14,9.49
U-1120,laser_cutting,L-02,18.93,,311.97,12.86,19.57
U-1120,bending,B-01,9.02,79.4,27.8,,7.42
U-1120,welding,W-02,0.51,,1439.46,3.44,10.3
U-1121,laser_cutting,L-03,20.75,,328.84,14.27,17.87
U-1121,bending,B-02,10.74,81.89,27.63,,7.68
U-1121,welding,W-02,0.58,,1483.22,3.01,10.45
U-1122,laser_cutting,L-01,20.67,,315.71,12.88,17.98
U-1122,bending,B-02,11.33,89.16,26.83,,7.74
U-1122,welding,W-02,0.52,,1514.43,3.14,9.67
U-1123,laser_cutting,L-01,18.45,,305.14,13.74,19.31
U-1123,bending,B-01,10.65,77.16,28.48,,6.31
U-1123,welding,W-01,0.63,,1391.95,3.22,9.96
U-1124,laser_cutting,L-01,19.42,,304.72,14.15,19.02
U-1124,bending,B-01,9.39,83.6,28.03,,7.77
U-1124,welding,W-02,0.54,,1518.32,2.98,10.15
U-1125,laser_cutting,L-01,21.45,,305.74,13.75,16.56
U-1125,bending,B-01,9.33,84.1,26.5,,6.92
U-1125,welding,W-02,0.52,,1452.56,3.09,10.33
U-1126,laser_cutting,L-03,23.12,,340.25,14.5,18.05
U-1126,bending,B-01,10.26,78.51,26.06,,7.36
U-1126,welding,W-02,0.55,,1423.16,3.37,10.16
U-1127,laser_cutting,L-03,22.83,,314.54,12.63,19.46
U-1127,bending,B-02,11.71,87.63,28.37,,6.88
U-1127,welding,W-01,0.65,,1465.4,2.75,8.97
U-1128,laser_cutting,L-03,19.98,,323.94,13.11,19.54
U-1128,bending,B-01,10.03,85.63,26.46,,7.95
U-1128,welding,W-01,0.55,,1514.96,3.07,9.69
U-1129,laser_cutting,L-03,23.51,,319.53,14.37,16.63
U-1129,bending,B-01,10.53,79.31,28.39,,7.62
U-1129,welding,W-01,0.61,,1517.41,2.8,8.54
U-1130,laser_cutting,L-02,22.09,,318.57,14.43,20.2
U-1130,bending,B-02,11.48,78.24,27.34,,6.85
U-1130,welding,W-01,0.64,,1514.04,3.15,9.36
U-1131,laser_cutting,L-03,23.3,,315.31,14.54,17.39
U-1131,bending,B-01,9.54,73.18,28.09,,6.68
U-1131,welding,W-01,0.63,,1412.89,2.75,9.67
U-1132,laser_cutting,L-01,19.06,,301.19,14.01,18.8
U-1132,bending,B-01,10.78,75.27,28.81,,8.04
U-1132,welding,W-02,0.52,,1511.83,2.92,8.78
U-1133,laser_cutting,L-03,19.98,,321.11,12.96,16.3
U-1133,bending,B-01,9.03,71.45,26.75,,6.33
U-1133,welding,W-01,0.65,,1455.69,2.94,8.98
U-1134,laser_cutting,L-01,20.7,,290.4,13.2,17.72
U-1134,bending,B-01,9.42,85.73,29.09,,7.44
U-1134,welding,W-02,0.56,,1411.48,3.17,10.15
U-1135,laser_cutting,L-01,20.76,,312.19,13.39,16.47
U-1135,bending,B-01,9.83,73.38,25.8,,7.31
U-1135,welding,W-02,0.5,,1434.12,3.17,9.63
U-1136,laser_cutting,L-03,21.57,,310.39,14.2,17.45
U-1136,bending,B-02,10.01,74.32,28.14,,6.45
U-1136,welding,W-02,0.57,,1515.68,3.2,10.87
U-1137,laser_cutting,L-03,20.68,,313.0,14.54,18.91
U-1137,bending,B-02,10.18,79.5,28.18,,6.99
U-1137,welding,W-02,0.54,,1433.49,3.18,8.68
U-1138,laser_cutting,L-03,24.08,,335.59,15.31,18.18
U-1138,bending,B-01,10.65,75.9,26.89,,6.83
U-1138,welding,W-01,0.65,,1523.93,2.75,10.32
U-1139,laser_cutting,L-02,21.34,,314.87,13.0,19.01
U-1139,bending,B-01,10.97,76.37,28.16,,6.79
U-1139,welding,W-02,0.6,,1528.61,3.01,8.66
U-1140,laser_cutting,L-01,21.56,,299.49,12.21,17.38
U-1140,bending,B-01,10.72,76.55,26.8,,7.09
U-1140,welding,W-02,0.59,,1558.07,3.21,10.3
U-1141,laser_cutting,L-03,23.06,,315.62,12.97,20.05
U-1141,bending,B-02,10.98,80.47,29.89,,7.36
U-1141,welding,W-02,0.54,,1417.94,3.24,10.56
U-1142,laser_cutting,L-01,18.87,,319.09,12.35,16.42
U-1142,bending,B-02,11.12,77.07,27.67,,6.71
U-1142,welding,W-02,0.6,,1551.93,3.26,8.57
U-1143,laser_cutting,L-02,21.41,,334.78,14.75,17.99
U-1143,bending,B-01,9.41,75.51,27.44,,7.38
U-1143,welding,W-01,0.61,,1460.1,3.2,8.46
U-1144,laser_cutting,L-02,19.11,,323.7,12.91,18.94
U-1144,bending,B-01,9.78,81.91,26.09,,7.65
U-1144,welding,W-01,0.64,,1552.31,2.92,8.82
U-1145,laser_cutting,L-03,21.09,,317.82,13.42,16.39
U-1145,bending,B-02,11.39,79.01,29.69,,7.96
U-1145,welding,W-01,0.59,,1505.32,3.03,8.88
U-1146,laser_cutting,L-02,20.76,,305.02,13.56,19.96
U-1146,bending,B-01,9.55,75.53,27.23,,7.9
U-1146,welding,W-02,0.5,,1574.74,3.29,9.2
U-1147,laser_cutting,L-01,21.46,,294.73,13.56,18.94
U-1147,bending,B-02,10.59,85.13,27.59,,6.63
U-1147,welding,W-02,0.51,,1542.17,3.22,9.23
U-1148,laser_cutting,L-03,22.37,,320.23,13.59,16.4
U-1148,bending,B-02,11.44,80.54,28.64,,7.95
U-1148,welding,W-01,0.61,,1464.96,2.77,10.31
U-1149,laser_cutting,L-03,23.27,,335.12,14.17,17.31
U-1149,bending,B-02,12.03,80.87,27.86,,6.39
U-1149,welding,W-02,0.56,,1449.74,3.25,9.4
U-1150,laser_cutting,L-01,21.58,,315.96,12.11,15.52
U-1150,bending,B-01,9.44,76.14,28.49,,7.74
U-1150,welding,W-01,0.65,,1399.86,3.26,9.64
U-1151,laser_cutting,L-02,21.66,,333.64,14.17,19.42
U-1151,bending,B-02,11.25,89.19,29.01,,6.43
U-1151,welding,W-02,0.56,,1472.86,3.04,8.8
U-1152,laser_cutting,L-02,21.66,,297.33,13.71,17.02
U-1152,bending,B-01,10.04,81.28,25.99,,6.86
U-1152,welding,W-01,0.55,,1465.08,2.93,8.81
U-1153,laser_cutting,L-02,20.7,,323.98,14.91,16.86
U-1153,bending,B-02,11.76,80.87,27.98,,7.9
U-1153,welding,W-02,0.59,,1442.52,3.45,9.88
U-1154,laser_cutting,L-03,24.05,,320.44,14.64,17.76
U-1154,bending,B-01,10.57,74.35,29.13,,6.35
U-1154,welding,W-02,0.51,,1581.21,3.0,10.03
U-1155,laser_cutting,L-01,20.26,,302.25,13.77,18.38
U-1155,bending,B-02,9.94,84.65,28.79,,6.59
U-1155,welding,W-02,0.6,,1442.23,3.15,8.57
U-1156,laser_cutting,L-02,20.22,,304.49,14.55,17.84
U-1156,bending,B-01,9.26,78.21,26.33,,6.46
U-1156,welding,W-01,0.57,,1394.01,2.75,8.53
U-1157,laser_cutting,L-03,20.03,,324.49,13.84,17.7
U-1157,bending,B-01,9.43,73.45,26.69,,7.89
U-1157,welding,W-02,0.57,,1412.12,2.9,9.48
U-1158,laser_cutting,L-01,19.38,,298.16,12.51,15.82
U-1158,bending,B-01,10.35,83.06,27.04,,6.57
U-1158,welding,W-02,0.52,,1416.83,3.52,8.92
U-1159,laser_cutting,L-01,19.87,,309.16,12.77,17.12
U-1159,bending,B-01,9.86,74.55,26.1,,6.47
U-1159,welding,W-01,0.57,,1521.77,2.85,10.05
U-1160,laser_cutting,L-03,22.76,,339.23,13.51,19.24
U-1160,bending,B-02,10.73,76.15,26.67,,7.11
U-1160,welding,W-02,0.57,,1526.32,3.04,10.09
U-1161,laser_cutting,L-03,21.3,,323.91,15.2,17.69
U-1161,bending,B-01,10.61,83.34,27.34,,7.66
U-1161,welding,W-01,0.64,,1452.5,3.18,9.43
U-1162,laser_cutting,L-03,20.11,,307.74,14.28,17.73
U-1162,bending,B-02,10.55,82.42,29.14,,7.88
U-1162,welding,W-02,0.57,,1582.63,3.07,8.55
U-1163,laser_cutting,L-03,19.99,,332.48,15.13,19.97
U-1163,bending,B-02,10.91,81.98,27.76,,7.86
U-1163,welding,W-01,0.61,,1405.44,2.76,9.93
U-1164,laser_cutting,L-01,18.34,,306.41,12.69,17.88
U-1164,bending,B-01,9.19,72.96,29.12,,7.08
U-1164,welding,W-02,0.56,,1557.04,3.09,9.28
U-1165,laser_cutting,L-01,20.53,,290.0,13.2,18.25
U-1165,bending,B-01,9.85,85.72,25.97,,7.67
U-1165,welding,W-01,0.64,,1414.49,2.78,10.27
U-1166,laser_cutting,L-03,22.67,,338.63,15.33,18.33
U-1166,bending,B-01,9.8,79.54,27.94,,6.57
U-1166,welding,W-02,0.51,,1572.6,2.93,10.71
U-1167,laser_cutting,L-01,21.7,,323.03,13.87,16.59
U-1167,bending,B-02,11.95,84.89,27.72,,6.95
U-1167,welding,W-02,0.58,,1490.75,2.93,8.94
U-1168,laser_cutting,L-01,18.46,,321.7,13.97,17.22
U-1168,bending,B-02,10.9,80.61,29.26,,6.54
U-1168,welding,W-01,0.57,,1476.51,2.77,10.05
U-1169,laser_cutting,L-01,20.79,,293.38,11.81,16.85
U-1169,bending,B-02,10.55,82.49,29.07,,7.34
U-1169,welding,W-01,0.55,,1554.61,3.15,9.42
U-1170,laser_cutting,L-02,22.22,,331.41,13.61,17.58
U-1170,bending,B-02,10.29,85.64,26.75,,7.01
U-1170,welding,W-02,0.57,,1493.54,3.4,10.81
U-1171,laser_cutting,L-03,20.04,,328.94,15.13,17.92
U-1171,bending,B-02,10.01,87.26,29.61,,7.33
U-1171,welding,W-02,0.58,,1516.02,3.15,10.83
U-1172,laser_cutting,L-03,22.32,,311.69,12.77,18.92
U-1172,bending,B-01,9.16,77.09,26.22,,6.62
U-1172,welding,W-02,0.6,,1570.67,3.05,9.01
U-1173,laser_cutting,L-03,20.69,,314.74,12.92,20.33
U-1173,bending,B-02,11.89,82.41,28.24,,6.88
U-1173,welding,W-01,0.66,,1527.64,3.15,9.63
U-1174,laser_cutting,L-03,23.01,,305.95,15.2,16.61
U-1174,bending,B-02,10.8,81.83,28.11,,6.34
U-1174,welding,W-02,0.5,,1586.83,3.23,10.84
U-1175,laser_cutting,L-02,19.77,,318.18,12.91,17.69
U-1175,bending,B-01,10.56,85.68,26.49,,7.83
U-1175,welding,W-01,0.66,,1411.6,3.18,8.85
U-1176,laser_cutting,L-03,22.1,,306.83,13.11,20.51
U-1176,bending,B-02,11.26,83.12,26.82,,7.41
U-1176,welding,W-02,0.58,,1510.89,3.16,8.85
U-1177,laser_cutting,L-03,21.37,,328.7,14.21,16.93
U-1177,bending,B-01,10.14,73.48,28.26,,6.34
U-1177,welding,W-01,0.62,,1484.45,3.18,9.75
U-1178,laser_cutting,L-01,18.24,,312.07,12.18,16.66
U-1178,bending,B-02,10.18,83.21,26.82,,6.35
U-1178,welding,W-02,0.52,,1524.37,3.06,9.72
U-1179,laser_cutting,L-03,23.1,,341.98,14.2,17.01
U-1179,bending,B-02,10.75,80.95,28.76,,7.33
U-1179,welding,W-02,0.56,,1404.05,3.11,9.99
U-1180,laser_cutting,L-01,21.73,,285.79,12.1,19.07
U-1180,bending,B-01,10.86,85.75,28.18,,6.8
U-1180,welding,W-01,0.57,,1419.09,2.78,10.03
U-1181,laser_cutting,L-03,21.61,,312.72,15.33,19.11
U-1181,bending,B-01,10.77,72.56,26.18,,6.87
U-1181,welding,W-01,0.58,,1458.08,3.09,9.78
U-1182,laser_cutting,L-03,21.43,,335.25,15.11,20.01
U-1182,bending,B-02,11.69,75.15,28.78,,7.15
U-1182,welding,W-01,0.63,,1429.09,3.25,8.32
U-1183,laser_cutting,L-02,21.04,,299.33,13.47,19.81
U-1183,bending,B-01,9.17,80.85,26.48,,7.95
U-1183,welding,W-01,0.66,,1490.19,2.75,9.56
U-1184,laser_cutting,L-03,20.04,,333.85,13.93,20.02
U-1184,bending,B-01,9.8,79.21,26.73,,7.14
U-1184,welding,W-02,0.6,,1478.38,3.18,10.23
U-1185,laser_cutting,L-02,19.2,,308.6,15.01,17.25
U-1185,bending,B-02,11.61,80.25,27.11,,6.32
U-1185,welding,W-01,0.59,,1543.36,3.0,9.24
U-1186,laser_cutting,L-03,20.12,,331.59,14.27,18.07
U-1186,bending,B-01,10.35,72.34,26.62,,6.38
U-1186,welding,W-01,0.63,,1436.23,3.21,8.68
U-1187,laser_cutting,L-01,21.38,,313.95,12.14,15.81
U-1187,bending,B-02,10.41,85.37,27.72,,6.72
U-1187,welding,W-02,0.58,,1577.25,2.95,9.1
U-1188,laser_cutting,L-01,19.81,,313.82,13.48,18.76
U-1188,bending,B-01,9.92,85.63,27.35,,8.03
U-1188,welding,W-02,0.55,,1591.49,3.43,8.78
U-1189,laser_cutting,L-03,23.78,,306.86,15.38,20.48
U-1189,bending,B-02,10.84,74.81,27.42,,6.94
U-1189,welding,W-01,0.64,,1441.46,3.13,10.34
U-1190,laser_cutting,L-03,23.25,,309.1,14.38,16.76
U-1190,bending,B-01,9.95,81.71,26.14,,7.07
U-1190,welding,W-02,0.51,,1561.63,3.2,8.58
U-1191,laser_cutting,L-01,20.18,,291.24,13.5,16.01
U-1191,bending,B-01,10.48,80.27,26.2,,7.26
U-1191,welding,W-01,0.57,,1426.68,3.28,9.75
U-1192,laser_cutting,L-03,20.42,,335.76,12.9,20.62
U-1192,bending,B-01,10.27,77.22,27.51,,7.61
U-1192,welding,W-02,0.5,,1465.45,3.08,10.06
