unit_id,process_step,machine_id,queue_length_units,average_wait_time_min,queue_timestamp
U-1079,welding,W-01,10,19,09:55
U-1080,laser_cutting,L-02,3,11,08:20
U-1080,bending,B-01,5,9,08:40
U-1080,welding,W-02,7,25,09:07
U-1081,laser_cutting,L-02,11,23,10:10
U-1081,bending,B-02,10,26,10:47
U-1081,welding,W-01,5,36,11:27
U-1082,laser_cutting,L-01,9,30,10:27
U-1082,bending,B-01,6,28,11:07
U-1082,welding,W-02,3,26,11:45
U-1083,laser_cutting,L-02,4,26,09:11
U-1083,bending,B-02,11,13,09:49
U-1083,welding,W-01,8,21,10:16
U-1084,laser_cutting,L-02,6,36,10:21
U-1084,bending,B-01,10,34,11:10
U-1084,welding,W-01,7,16,11:54
U-1085,laser_cutting,L-01,5,12,10:28
U-1085,bending,B-01,2,9,10:48
U-1085,welding,W-01,11,27,11:13
U-1086,laser_cutting,L-03,8,35,10:11
U-1086,bending,B-01,2,15,11:01
U-1086,welding,W-02,9,26,11:31
U-1087,laser_cutting,L-01,7,24,08:55
U-1087,bending,B-01,6,28,09:34
U-1087,welding,W-01,9,28,10:18
U-1088,laser_cutting,L-01,2,15,10:18
U-1088,bending,B-01,11,12,10:47
U-1088,welding,W-01,5,25,11:17
U-1089,laser_cutting,L-01,2,19,09:23
U-1089,bending,B-02,3,26,09:56
U-1089,welding,W-02,6,9,10:36
U-1090,laser_cutting,L-03,2,30,08:11
U-1090,bending,B-02,6,29,08:59
U-1090,welding,W-02,3,39,09:42
U-1091,laser_cutting,L-02,5,35,08:56
U-1091,bending,B-01,9,8,09:40
U-1091,welding,W-01,7,39,09:57
U-1092,laser_cutting,L-01,3,12,08:30
U-1092,bending,B-01,3,13,08:58
U-1092,welding,W-02,6,10,09:24
U-1093,laser_cutting,L-01,6,16,09:07
U-1093,bending,B-01,11,9,09:31
U-1093,welding,W-01,4,20,09:54
U-1094,laser_cutting,L-02,10,31,09:43
U-1094,bending,B-01,6,9,10:27
U-1094,welding,W-02,6,24,10:49
U-1095,laser_cutting,L-02,8,33,09:35
U-1095,bending,B-01,3,24,10:25
U-1095,welding,W-02,10,15,11:00
U-1096,laser_cutting,L-02,4,34,09:02
U-1096,bending,B-02,3,16,09:50
U-1096,welding,W-02,9,33,10:17
U-1097,laser_cutting,L-01,10,38,10:20
U-1097,bending,B-02,5,37,11:09
U-1097,welding,W-01,7,23,11:59
U-1098,laser_cutting,L-02,11,20,09:05
U-1098,bending,B-01,7,36,09:38
U-1098,welding,W-01,6,26,10:27
U-1099,laser_cutting,L-02,3,35,08:53
U-1099,bending,B-01,8,15,09:37
U-1099,welding,W-01,10,38,10:02
U-1100,laser_cutting,L-02,9,16,09:26
U-1100,bending,B-01,3,19,09:58
U-1100,welding,W-02,9,19,10:31
U-1101,laser_cutting,L-03,6,8,10:28
U-1101,bending,B-01,5,26,10:52
U-1101,welding,W-01,3,39,11:30
U-1102,laser_cutting,L-03,3,23,10:20
U-1102,bending,B-01,9,15,10:53
U-1102,welding,W-02,9,29,11:23
U-1103,laser_cutting,L-02,6,13,09:13
U-1103,bending,B-01,7,24,09:42
U-1103,welding,W-02,8,35,10:15
U-1104,laser_cutting,L-03,10,9,10:49
U-1104,bending,B-02,6,11,11:14
U-1104,welding,W-01,8,32,11:43
U-1105,laser_cutting,L-01,8,19,10:35
U-1105,bending,B-02,7,16,11:05
U-1105,welding,W-01,6,15,11:32
U-1106,laser_cutting,L-02,9,29,10:54
U-1106,bending,B-01,3,13,11:37
U-1106,welding,W-02,7,37,12:07
U-1107,laser_cutting,L-01,3,18,09:14
U-1107,bending,B-02,11,37,09:46
U-1107,welding,W-02,5,19,10:42
U-1108,laser_cutting,L-02,3,30,09:19
U-1108,bending,B-01,5,31,09:57
U-1108,welding,W-01,11,38,10:39
U-1109,laser_cutting,L-01,4,19,10:34
U-1109,bending,B-01,2,39,11:02
U-1109,welding,W-02,5,36,11:49
U-1110,laser_cutting,L-01,5,27,10:33
U-1110,bending,B-01,9,26,11:09
U-1110,welding,W-01,8,14,11:51
U-1111,laser_cutting,L-03,8,21,08:40
U-1111,bending,B-01,4,22,09:16
U-1111,welding,W-02,10,24,09:52
U-1112,laser_cutting,L-01,10,36,09:01
U-1112,bending,B-01,4,29,09:47
U-1112,welding,W-01,8,33,10:32
U-1113,laser_cutting,L-02,6,29,08:38
U-1113,bending,B-02,3,38,09:23
U-1113,welding,W-01,6,12,10:18
U-1114,laser_cutting,L-02,9,22,10:06
U-1114,bending,B-02,10,36,10:39
U-1114,welding,W-01,2,19,11:27
U-1115,laser_cutting,L-01,4,18,10:25
U-1115,bending,B-02,9,34,10:53
U-1115,welding,W-02,4,26,11:40
U-1116,laser_cutting,L-03,3,31,10:51
U-1116,bending,B-02,9,35,11:33
U-1116,welding,W-02,2,12,12:19
U-1117,laser_cutting,L-02,8,11,10:02
U-1117,bending,B-01,7,36,10:25
U-1117,welding,W-02,6,35,11:14
U-1118,laser_cutting,L-03,4,17,09:10
U-1118,bending,B-01,7,27,09:40
U-1118,welding,W-02,6,9,10:18
U-1119,laser_cutting,L-02,5,8,08:58
U-1119,bending,B-02,6,34,09:18
U-1119,welding,W-01,10,11,10:06
U-1120,laser_cutting,L-02,2,17,10:55
U-1120,bending,B-01,10,34,11:23
U-1120,welding,W-02,5,20,12:18
U-1121,laser_cutting,L-03,3,10,08:39
U-1121,bending,B-02,3,13,09:03
U-1121,welding,W-02,9,26,09:33
U-1122,laser_cutting,L-01,7,12,09:52
U-1122,bending,B-02,5,25,10:22
U-1122,welding,W-02,11,32,11:00
U-1123,laser_cutting,L-01,7,13,10:00
U-1123,bending,B-01,4,20,10:22
U-1123,welding,W-01,10,28,11:00
U-1124,laser_cutting,L-01,5,21,09:35
U-1124,bending,B-01,4,14,10:05
U-1124,welding,W-02,4,37,10:34
U-1125,laser_cutting,L-01,8,15,08:44
U-1125,bending,B-01,2,37,09:12
U-1125,welding,W-02,8,30,10:06
U-1126,laser_cutting,L-03,10,22,09:11
U-1126,bending,B-01,7,8,09:42
U-1126,welding,W-02,9,33,10:07
U-1127,laser_cutting,L-03,6,18,10:10
U-1127,bending,B-02,2,36,10:45
U-1127,welding,W-01,3,16,11:32
U-1128,laser_cutting,L-03,3,39,10:25
U-1128,bending,B-01,3,9,11:11
U-1128,welding,W-01,4,26,11:39
U-1129,laser_cutting,L-03,3,37,09:46
U-1129,bending,B-01,10,11,10:35
U-1129,welding,W-01,6,26,10:56
U-1130,laser_cutting,L-02,2,23,10:36
U-1130,bending,B-02,11,36,11:18
U-1130,welding,W-01,3,37,12:12
U-1131,laser_cutting,L-03,3,37,09:29
U-1131,bending,B-01,2,37,10:19
U-1131,welding,W-01,5,39,11:10
U-1132,laser_cutting,L-01,6,38,08:27
U-1132,bending,B-01,9,21,09:19
U-1132,welding,W-02,3,15,09:56
U-1133,laser_cutting,L-03,4,38,09:48
U-1133,bending,B-01,7,18,10:39
U-1133,welding,W-01,11,10,11:12
U-1134,laser_cutting,L-01,4,18,09:00
U-1134,bending,B-01,6,38,09:27
U-1134,welding,W-02,5,13,10:16
U-1135,laser_cutting,L-01,6,30,09:14
U-1135,bending,B-01,8,11,09:56
U-1135,welding,W-02,3,23,10:20
U-1136,laser_cutting,L-03,9,33,10:45
U-1136,bending,B-02,9,18,11:33
U-1136,welding,W-02,8,23,12:05
U-1137,laser_cutting,L-03,10,10,09:27
U-1137,bending,B-02,6,37,09:55
U-1137,welding,W-02,3,25,10:44
U-1138,laser_cutting,L-03,6,27,10:17
U-1138,bending,B-01,9,35,11:00
U-1138,welding,W-01,11,29,11:48
U-1139,laser_cutting,L-02,6,39,08:10
U-1139,bending,B-01,2,30,09:03
U-1139,welding,W-02,3,26,09:50
U-1140,laser_cutting,L-01,2,39,10:46
U-1140,bending,B-01,8,32,11:37
U-1140,welding,W-02,9,20,12:29
U-1141,laser_cutting,L-03,9,32,10:11
U-1141,bending,B-02,4,35,10:55
U-1141,welding,W-02,4,17,11:49
U-1142,laser_cutting,L-01,10,38,08:51
U-1142,bending,B-02,5,8,09:38
U-1142,welding,W-02,9,15,10:02
U-1143,laser_cutting,L-02,3,38,08:01
U-1143,bending,B-01,6,37,08:49
U-1143,welding,W-01,5,37,09:39
U-1144,laser_cutting,L-02,10,39,09:14
U-1144,bending,B-01,9,17,10:01
U-1144,welding,W-01,6,28,10:36
U-1145,laser_cutting,L-03,4,18,10:56
U-1145,bending,B-02,2,13,11:30
U-1145,welding,W-01,5,33,12:02
U-1146,laser_cutting,L-02,9,31,09:38
U-1146,bending,B-01,9,19,10:28
U-1146,welding,W-02,9,37,11:00
U-1147,laser_cutting,L-01,4,19,08:26
U-1147,bending,B-02,8,11,08:52
U-1147,welding,W-02,2,27,09:20
U-1148,laser_cutting,L-03,10,28,09:49
U-1148,bending,B-02,9,30,10:26
U-1148,welding,W-01,6,33,11:13
U-1149,laser_cutting,L-03,8,33,08:29
U-1149,bending,B-02,10,14,09:19
U-1149,welding,W-02,9,12,09:49
U-1150,laser_cutting,L-01,7,13,09:18
U-1150,bending,B-01,7,10,09:42
U-1150,welding,W-01,6,31,10:02
U-1151,laser_cutting,L-02,7,34,08:19
U-1151,bending,B-02,8,22,09:07
U-1151,welding,W-02,9,31,09:49
U-1152,laser_cutting,L-02,11,39,10:20
U-1152,bending,B-01,11,35,11:11
U-1152,welding,W-01,3,15,12:04
U-1153,laser_cutting,L-02,6,28,10:25
U-1153,bending,B-02,7,31,11:05
U-1153,welding,W-02,10,12,11:54
U-1154,laser_cutting,L-03,2,39,10:18
U-1154,bending,B-01,5,29,11:10
U-1154,welding,W-02,2,25,11:55
U-1155,laser_cutting,L-01,3,20,08:29
U-1155,bending,B-02,8,38,09:04
U-1155,welding,W-02,10,17,09:52
U-1156,laser_cutting,L-02,10,19,09:29
U-1156,bending,B-01,9,14,10:05
U-1156,welding,W-01,2,31,10:29
U-1157,laser_cutting,L-03,11,14,10:37
U-1157,bending,B-01,5,26,11:02
U-1157,welding,W-02,7,39,11:41
U-1158,laser_cutting,L-01,7,36,08:33
U-1158,bending,B-01,10,27,09:20
U-1158,welding,W-02,11,11,10:00
U-1159,laser_cutting,L-01,4,38,09:24
U-1159,bending,B-01,8,28,10:18
U-1159,welding,W-01,2,22,10:56
U-1160,laser_cutting,L-03,9,25,10:33
U-1160,bending,B-02,7,37,11:09
U-1160,welding,W-02,2,20,12:07
U-1161,laser_cutting,L-03,10,23,09:46
U-1161,bending,B-01,11,39,10:27
U-1161,welding,W-01,3,38,11:23
U-1162,laser_cutting,L-03,9,28,10:04
U-1162,bending,B-02,5,20,10:48
U-1162,welding,W-02,2,20,11:27
U-1163,laser_cutting,L-03,8,38,10:28
U-1163,bending,B-02,2,16,11:19
U-1163,welding,W-01,4,24,11:43
U-1164,laser_cutting,L-01,10,36,08:34
U-1164,bending,B-01,5,19,09:23
U-1164,welding,W-02,4,27,09:55
U-1165,laser_cutting,L-01,4,8,08:07
U-1165,bending,B-01,8,11,08:25
U-1165,welding,W-01,6,20,08:50
U-1166,laser_cutting,L-03,10,27,08:25
U-1166,bending,B-01,4,39,09:01
U-1166,welding,W-02,9,34,09:51
U-1167,laser_cutting,L-01,6,31,09:56
U-1167,bending,B-02,5,18,10:39
U-1167,welding,W-02,10,33,11:09
U-1168,laser_cutting,L-01,4,23,08:29
U-1168,bending,B-02,11,13,09:07
U-1168,welding,W-01,11,17,09:32
U-1169,laser_cutting,L-01,5,18,08:03
U-1169,bending,B-02,9,26,08:31
U-1169,welding,W-01,5,12,09:08
U-1170,laser_cutting,L-02,7,18,08:29
U-1170,bending,B-02,8,33,09:05
U-1170,welding,W-02,6,37,09:50
U-1171,laser_cutting,L-03,6,19,10:59
U-1171,bending,B-02,2,19,11:30
U-1171,welding,W-02,7,17,12:05
U-1172,laser_cutting,L-03,8,24,10:35
U-1172,bending,B-01,8,33,11:16
U-1172,welding,W-02,7,20,12:02
U-1173,laser_cutting,L-03,4,23,08:44
U-1173,bending,B-02,3,16,09:21
U-1173,welding,W-01,3,19,09:44
U-1174,laser_cutting,L-03,7,22,10:00
U-1174,bending,B-02,4,31,10:40
U-1174,welding,W-02,10,9,11:19
U-1175,laser_cutting,L-02,3,22,08:24
U-1175,bending,B-01,10,30,08:54
U-1175,welding,W-01,4,18,09:42
U-1176,laser_cutting,L-03,2,26,09:31
U-1176,bending,B-02,7,20,10:13
U-1176,welding,W-02,9,19,10:46
U-1177,laser_cutting,L-03,8,39,09:03
U-1177,bending,B-01,8,34,09:58
U-1177,welding,W-01,7,34,10:48
U-1178,laser_cutting,L-01,7,28,09:26
U-1178,bending,B-02,3,15,10:08
U-1178,welding,W-02,9,20,10:32
U-1179,laser_cutting,L-03,4,32,10:26
U-1179,bending,B-02,9,30,11:06
U-1179,welding,W-02,10,27,11:56
U-1180,laser_cutting,L-01,10,33,10:47
U-1180,bending,B-01,3,36,11:32
U-1180,welding,W-01,10,37,12:22
U-1181,laser_cutting,L-03,3,29,09:12
U-1181,bending,B-01,11,26,09:55
U-1181,welding,W-01,7,10,10:41
U-1182,laser_cutting,L-03,9,16,08:58
U-1182,bending,B-02,7,15,09:30
U-1182,welding,W-01,8,34,09:55
U-1183,laser_cutting,L-02,9,18,09:20
U-1183,bending,B-01,4,33,09:52
U-1183,welding,W-01,8,16,10:38
U-1184,laser_cutting,L-03,7,20,10:02
U-1184,bending,B-01,2,25,10:38
U-1184,welding,W-02,4,27,11:17
U-1185,laser_cutting,L-02,3,22,08:49
U-1185,bending,B-02,10,9,09:20
U-1185,welding,W-01,3,25,09:48
U-1186,laser_cutting,L-03,7,9,08:13
U-1186,bending,B-01,3,33,08:35
U-1186,welding,W-01,8,9,09:20
U-1187,laser_cutting,L-01,5,29,09:05
U-1187,bending,B-02,8,8,09:45
U-1187,welding,W-02,11,16,10:03
U-1188,laser_cutting,L-01,9,25,09:45
U-1188,bending,B-01,11,9,10:24
U-1188,welding,W-02,7,33,10:52
U-1189,laser_cutting,L-03,7,39,10:58
U-1189,bending,B-02,8,26,11:47
U-1189,welding,W-01,11,9,12:26
U-1190,laser_cutting,L-03,10,22,10:21
U-1190,bending,B-01,2,26,10:57
U-1190,welding,W-02,11,23,11:37
U-1191,laser_cutting,L-01,5,21,08:45
U-1191,bending,B-01,7,29,09:18
U-1191,welding,W-01,8,33,09:57
U-1192,laser_cutting,L-03,10,12,09:48
U-1192,bending,B-01,4,30,10:19
U-1192,welding,W-02,3,18,11:06
U-1193,laser_cutting,L-01,2,8,10:37
U-1193,bending,B-02,10,39,10:59
U-1193,welding,W-02,8,20,11:50
U-1194,laser_cutting,L-01,6,23,09:13
U-1194,bending,B-01,3,39,09:48
U-1194,welding,W-02,9,33,10:41
U-1195,laser_cutting,L-01,3,24,09:40
U-1195,bending,B-02,9,22,10:15
U-1195,welding,W-02,10,33,10:50
U-1196,laser_cutting,L-03,2,19,08:41
U-1196,bending,B-02,6,29,09:10
U-1196,welding,W-01,10,17,09:50
U-1197,laser_cutting,L-03,11,33,09:17
U-1197,bending,B-02,5,36,10:05
U-1197,welding,W-02,3,19,10:59
U-1198,laser_cutting,L-03,8,24,09:26
U-1198,bending,B-02,5,21,10:03
U-1198,welding,W-02,3,19,10:38
U-1199,laser_cutting,L-01,6,23,10:34
U-1199,bending,B-01,6,12,11:11
U-1199,welding,W-02,11,31,11:39
U-1200,laser_cutting,L-03,3,16,09:47
U-1200,bending,B-01,3,17,10:20
U-1200,welding,W-02,3,13,10:48
U-1201,laser_cutting,L-01,5,23,08:09
U-1201,bending,B-02,6,29,08:44
U-1201,welding,W-02,7,36,09:25
U-1202,laser_cutting,L-02,7,31,08:50
U-1202,bending,B-01,3,31,09:30
U-1202,welding,W-02,10,27,10:19
U-1203,laser_cutting,L-03,9,8,08:30
U-1203,bending,B-01,3,36,08:48
U-1203,welding,W-01,3,33,09:36
U-1204,laser_cutting,L-02,6,37,10:26
U-1204,bending,B-02,7,20,11:16
U-1204,welding,W-01,3,20,11:46
U-1205,laser_cutting,L-02,10,39,10:47
U-1205,bending,B-01,3,22,11:44
U-1205,welding,W-02,2,11,12:19
U-1206,laser_cutting,L-01,8,34,10:47
U-1206,bending,B-02,10,19,11:31
U-1206,welding,W-02,3,20,12:00
U-1207,laser_cutting,L-01,9,12,08:55
U-1207,bending,B-01,4,29,09:18
U-1207,welding,W-01,6,25,10:00
U-1208,laser_cutting,L-01,3,22,09:32
U-1208,bending,B-02,9,10,10:03
U-1208,welding,W-02,5,24,10:28
U-1209,laser_cutting,L-03,3,30,08:47
U-1209,bending,B-02,5,10,09:27
U-1209,welding,W-02,11,30,09:53
U-1210,laser_cutting,L-02,6,20,10:24
U-1210,bending,B-01,8,17,10:53
U-1210,welding,W-02,4,28,11:28
U-1211,laser_cutting,L-02,4,11,08:39
U-1211,bending,B-02,11,19,08:58
U-1211,welding,W-02,8,27,09:36
U-1212,laser_cutting,L-02,10,36,10:54
U-1212,bending,B-01,7,20,11:45
U-1212,welding,W-02,8,13,12:17
U-1213,laser_cutting,L-03,3,38,08:26
U-1213,bending,B-01,8,24,09:17
U-1213,welding,W-02,6,25,09:58
U-1214,laser_cutting,L-01,2,22,08:22
U-1214,bending,B-01,6,24,08:56
U-1214,welding,W-02,7,25,09:36
U-1215,laser_cutting,L-03,3,14,08:53
U-1215,bending,B-02,9,38,09:23
U-1215,welding,W-01,7,38,10:11
U-1216,laser_cutting,L-03,10,38,08:00
U-1216,bending,B-01,11,24,08:56
U-1216,welding,W-01,8,9,09:37
U-1217,laser_cutting,L-02,7,17,08:02
U-1217,bending,B-02,5,17,08:36
U-1217,welding,W-01,9,13,09:03
U-1218,laser_cutting,L-02,4,38,10:55
U-1218,bending,B-01,3,32,11:40
U-1218,welding,W-01,8,10,12:26
U-1219,laser_cutting,L-01,9,29,09:36
U-1219,bending,B-01,9,17,10:22
U-1219,welding,W-01,5,32,10:54
U-1220,laser_cutting,L-03,7,13,10:04
U-1220,bending,B-01,7,25,10:28
U-1220,welding,W-01,11,22,11:06
U-1221,laser_cutting,L-01,8,35,08:58
U-1221,bending,B-01,11,39,09:51
U-1221,welding,W-01,7,36,10:43
U-1222,laser_cutting,L-01,7,33,08:10
U-1222,bending,B-01,8,8,08:56
U-1222,welding,W-02,11,12,09:16
U-1223,laser_cutting,L-03,7,23,08:48
U-1223,bending,B-02,11,15,09:26
U-1223,welding,W-02,8,18,09:58
U-1224,laser_cutting,L-01,9,15,10:53
U-1224,bending,B-02,9,33,11:23
U-1224,welding,W-02,7,23,12:14
U-1225,laser_cutting,L-02,6,8,10:35
U-1225,bending,B-01,9,30,10:53
U-1225,welding,W-01,2,30,11:40
U-1226,laser_cutting,L-01,3,33,09:09
U-1226,bending,B-01,2,34,09:49
U-1226,welding,W-01,9,29,10:39
U-1227,laser_cutting,L-03,10,9,10:23
U-1227,bending,B-01,11,18,10:42
U-1227,welding,W-01,11,8,11:16
U-1228,laser_cutting,L-02,6,11,08:19
U-1228,bending,B-01,11,26,08:44
U-1228,welding,W-01,6,11,09:25
U-1229,laser_cutting,L-03,8,36,09:39
U-1229,bending,B-01,2,12,10:34
U-1229,welding,W-02,3,26,10:56
U-1230,laser_cutting,L-03,4,12,08:13
U-1230,bending,B-02,5,25,08:33
U-1230,welding,W-02,11,36,09:13
U-1231,laser_cutting,L-01,10,13,08:57
U-1231,bending,B-02,3,19,09:26
U-1231,welding,W-02,4,33,09:56
U-1232,laser_cutting,L-03,8,19,08:24
U-1232,bending,B-02,3,20,08:55
U-1232,welding,W-02,6,37,09:35
U-1233,laser_cutting,L-02,2,17,08:42
U-1233,bending,B-01,5,15,09:08
U-1233,welding,W-02,10,22,09:38
U-1234,laser_cutting,L-02,4,39,10:34
U-1234,bending,B-01,11,39,11:26
U-1234,welding,W-01,7,22,12:24
U-1235,laser_cutting,L-02,2,24,10:40
U-1235,bending,B-02,10,15,11:17
U-1235,welding,W-01,4,21,11:51
U-1236,laser_cutting,L-01,8,34,10:17
U-1236,bending,B-01,2,26,11:04
U-1236,welding,W-02,5,12,11:47
U-1237,laser_cutting,L-02,5,18,09:38
U-1237,bending,B-01,11,24,10:14
U-1237,welding,W-01,4,33,10:59
U-1238,laser_cutting,L-01,7,30,10:25
U-1238,bending,B-01,9,33,11:02
U-1238,welding,W-01,6,16,11:50
U-1239,laser_cutting,L-02,9,16,10:00
U-1239,bending,B-01,6,36,10:28
U-1239,welding,W-01,4,8,11:21
U-1240,laser_cutting,L-03,6,9,09:54
U-1240,bending,B-02,7,8,10:18
U-1240,welding,W-01,10,21,10:44
U-1241,laser_cutting,L-01,6,29,08:14
U-1241,bending,B-02,6,35,08:54
U-1241,welding,W-01,6,24,09:40
U-1242,laser_cutting,L-01,3,30,09:42
U-1242,bending,B-01,7,10,10:22
U-1242,welding,W-01,11,36,10:50
U-1243,laser_cutting,L-02,5,23,08:20
U-1243,bending,B-01,6,36,08:54
U-1243,welding,W-02,11,29,09:46
U-1244,laser_cutting,L-02,9,11,08:16
U-1244,bending,B-02,3,12,08:37
U-1244,welding,W-02,4,37,09:06
U-1245,laser_cutting,L-03,6,12,10:26
U-1245,bending,B-02,7,25,10:50
U-1245,welding,W-02,7,17,11:26
U-1246,laser_cutting,L-02,9,35,10:46
U-1246,bending,B-02,3,30,11:33
U-1246,welding,W-01,6,28,12:17
U-1247,laser_cutting,L-01,3,9,09:06
U-1247,bending,B-02,7,26,09:25
U-1247,welding,W-01,5,36,10:10
U-1248,laser_cutting,L-02,6,15,09:45
U-1248,bending,B-01,6,9,10:21
U-1248,welding,W-02,7,11,10:44
U-1249,laser_cutting,L-03,9,10,10:27
U-1249,bending,B-02,10,23,10:47
U-1249,welding,W-01,9,17,11:27
U-1250,laser_cutting,L-03,7,10,10:17
U-1250,bending,B-01,3,36,10:37
U-1250,welding,W-01,7,19,11:25
U-1251,laser_cutting,L-02,9,32,08:16
U-1251,bending,B-02,5,25,08:57
U-1251,welding,W-01,4,24,09:39
U-1252,laser_cutting,L-03,2,8,09:35
U-1252,bending,B-02,6,12,09:56
U-1252,welding,W-01,9,17,10:27
U-1253,laser_cutting,L-01,9,29,08:55
U-1253,bending,B-01,8,11,09:37
U-1253,welding,W-02,10,16,10:08
U-1254,laser_cutting,L-01,3,35,10:09
U-1254,bending,B-02,10,20,10:58
U-1254,welding,W-01,10,26,11:34
U-1255,laser_cutting,L-02,9,24,09:25
U-1255,bending,B-01,11,36,10:06
U-1255,welding,W-01,10,11,10:55
U-1256,laser_cutting,L-02,10,14,10:46
U-1256,bending,B-02,9,32,11:09
U-1256,welding,W-01,6,35,11:58
U-1257,laser_cutting,L-03,5,26,08:07
U-1257,bending,B-01,7,19,08:42
U-1257,welding,W-02,3,24,09:15
U-1258,laser_cutting,L-01,2,11,10:25
U-1258,bending,B-01,2,15,10:50
U-1258,welding,W-01,4,22,11:21
U-1259,laser_cutting,L-02,8,8,09:10
