unit_id,process_step,result,defect_type,severity,inspection_timestamp
U-1065,welding,fail,surface_porosity,medium,2026-03-28 11:39:13
U-1066,laser_cutting,pass,-,-,2026-03-28 09:26:07
U-1066,bending,pass,-,-,2026-03-28 10:03:06
U-1066,welding,pass,-,-,2026-03-28 10:50:40
U-1067,laser_cutting,pass,-,-,2026-03-28 10:30:04
U-1067,bending,pass,-,-,2026-03-28 11:19:47
U-1067,welding,pass,-,-,2026-03-28 11:52:42
U-1068,laser_cutting,pass,-,-,2026-03-28 09:37:04
U-1068,bending,fail,surface_crack,medium,2026-03-28 10:30:32
U-1068,welding,pass,-,-,2026-03-28 11:23:33
U-1069,laser_cutting,pass,-,-,2026-03-28 08:34:50
U-1069,bending,pass,-,-,2026-03-28 09:06:43
U-1069,welding,pass,-,-,2026-03-28 10:01:56
U-1070,laser_cutting,pass,-,-,2026-03-28 08:24:10
U-1070,bending,pass,-,-,2026-03-28 09:02:48
U-1070,welding,pass,-,-,2026-03-28 09:52:55
U-1071,laser_cutting,pass,-,-,2026-03-28 08:54:24
U-1071,bending,fail,angle_deviation,medium,2026-03-28 09:31:12
U-1071,welding,pass,-,-,2026-03-28 10:19:30
U-1072,laser_cutting,pass,-,-,2026-03-28 11:23:24
U-1072,bending,pass,-,-,2026-03-28 12:12:53
U-1072,welding,pass,-,-,2026-03-28 12:53:50
U-1073,laser_cutting,pass,-,-,2026-03-28 10:58:46
U-1073,bending,pass,-,-,2026-03-28 11:37:24
U-1073,welding,pass,-,-,2026-03-28 12:19:31
U-1074,laser_cutting,pass,-,-,2026-03-28 08:53:24
U-1074,bending,pass,-,-,2026-03-28 09:17:43
U-1074,welding,fail,weak_joint,low,2026-03-28 10:11:25
U-1075,laser_cutting,pass,-,-,2026-03-28 09:16:07
U-1075,bending,pass,-,-,2026-03-28 10:09:59
U-1075,welding,fail,surface_porosity,low,2026-03-28 10:57:19
U-1076,laser_cutting,pass,-,-,2026-03-28 10:38:48
U-1076,bending,pass,-,-,2026-03-28 11:16:52
U-1076,welding,pass,-,-,2026-03-28 11:58:37
U-1077,laser_cutting,pass,-,-,2026-03-28 09:32:56
U-1077,bending,pass,-,-,2026-03-28 09:59:25
U-1077,welding,pass,-,-,2026-03-28 10:28:05
U-1078,laser_cutting,fail,edge_burr,low,2026-03-28 11:18:39
U-1078,bending,pass,-,-,2026-03-28 12:07:33
U-1078,welding,fail,surface_porosity,medium,2026-03-28 12:41:52
U-1079,laser_cutting,pass,-,-,2026-03-28 09:02:32
U-1079,bending,pass,-,-,2026-03-28 09:48:52
U-1079,welding,pass,-,-,2026-03-28 10:23:31
U-1080,laser_cutting,pass,-,-,2026-03-28 08:35:52
U-1080,bending,pass,-,-,2026-03-28 08:57:04
U-1080,welding,pass,-,-,2026-03-28 09:39:37
U-1081,laser_cutting,fail,incomplete_cut,high,2026-03-28 10:42:10
U-1081,bending,fail,springback,low,2026-03-28 11:23:06
U-1081,welding,pass,-,-,2026-03-28 12:12:39
U-1082,laser_cutting,pass,-,-,2026-03-28 11:03:00
U-1082,bending,pass,-,-,2026-03-28 11:41:59
U-1082,welding,pass,-,-,2026-03-28 12:19:20
U-1083,laser_cutting,pass,-,-,2026-03-28 09:40:24
U-1083,bending,pass,-,-,2026-03-28 10:11:21
U-1083,welding,pass,-,-,2026-03-28 10:47:45
U-1084,laser_cutting,pass,-,-,2026-03-28 11:04:24
U-1084,bending,pass,-,-,2026-03-28 11:51:40
U-1084,welding,pass,-,-,2026-03-28 12:19:31
U-1085,laser_cutting,pass,-,-,2026-03-28 10:43:50
U-1085,bending,pass,-,-,2026-03-28 11:03:31
U-1085,welding,pass,-,-,2026-03-28 11:47:59
U-1086,laser_cutting,pass,-,-,2026-03-28 10:53:12
U-1086,bending,pass,-,-,2026-03-28 11:24:08
U-1086,welding,pass,-,-,2026-03-28 12:07:52
U-1087,laser_cutting,pass,-,-,2026-03-28 09:23:39
U-1087,bending,pass,-,-,2026-03-28 10:08:43
U-1087,welding,pass,-,-,2026-03-28 10:55:53
U-1088,laser_cutting,pass,-,-,2026-03-28 10:36:58
U-1088,bending,pass,-,-,2026-03-28 11:09:06
U-1088,welding,pass,-,-,2026-03-28 11:51:36
U-1089,laser_cutting,pass,-,-,2026-03-28 09:46:52
U-1089,bending,pass,-,-,2026-03-28 10:31:01
U-1089,welding,pass,-,-,2026-03-28 10:54:45
U-1090,laser_cutting,pass,-,-,2026-03-28 08:49:11
U-1090,bending,pass,-,-,2026-03-28 09:35:21
U-1090,welding,pass,-,-,2026-03-28 10:32:06
U-1091,laser_cutting,pass,-,-,2026-03-28 09:35:34
U-1091,bending,pass,-,-,2026-03-28 09:55:04
U-1091,welding,pass,-,-,2026-03-28 10:47:27
U-1092,laser_cutting,pass,-,-,2026-03-28 08:47:51
U-1092,bending,pass,-,-,2026-03-28 09:18:40
U-1092,welding,pass,-,-,2026-03-28 09:42:13
U-1093,laser_cutting,pass,-,-,2026-03-28 09:27:13
U-1093,bending,pass,-,-,2026-03-28 09:45:30
U-1093,welding,pass,-,-,2026-03-28 10:24:08
U-1094,laser_cutting,fail,heat_mark,high,2026-03-28 10:23:42
U-1094,bending,pass,-,-,2026-03-28 10:41:54
U-1094,welding,pass,-,-,2026-03-28 11:22:55
U-1095,laser_cutting,pass,-,-,2026-03-28 10:15:27
U-1095,bending,pass,-,-,2026-03-28 10:56:57
U-1095,welding,fail,surface_porosity,medium,2026-03-28 11:27:40
U-1096,laser_cutting,pass,-,-,2026-03-28 09:44:25
U-1096,bending,pass,-,-,2026-03-28 10:13:34
U-1096,welding,pass,-,-,2026-03-28 11:00:35
U-1097,laser_cutting,pass,-,-,2026-03-28 11:06:11
U-1097,bending,pass,-,-,2026-03-28 11:55:55
U-1097,welding,pass,-,-,2026-03-28 12:33:40
U-1098,laser_cutting,pass,-,-,2026-03-28 09:30:43
U-1098,bending,pass,-,-,2026-03-28 10:21:17
U-1098,welding,pass,-,-,2026-03-28 11:04:54
U-1099,laser_cutting,pass,-,-,2026-03-28 09:32:51
U-1099,bending,pass,-,-,2026-03-28 10:00:17
U-1099,welding,fail,burn_through,medium,2026-03-28 10:50:48
U-1100,laser_cutting,pass,-,-,2026-03-28 09:48:36
U-1100,bending,pass,-,-,2026-03-28 10:24:46
U-1100,welding,pass,-,-,2026-03-28 10:59:34
U-1101,laser_cutting,pass,-,-,2026-03-28 10:42:29
U-1101,bending,pass,-,-,2026-03-28 11:26:32
U-1101,welding,pass,-,-,2026-03-28 12:17:46
U-1102,laser_cutting,pass,-,-,2026-03-28 10:50:10
U-1102,bending,pass,-,-,2026-03-28 11:17:17
U-1102,welding,pass,-,-,2026-03-28 12:00:24
U-1103,laser_cutting,pass,-,-,2026-03-28 09:32:08
U-1103,bending,pass,-,-,2026-03-28 10:13:08
U-1103,welding,pass,-,-,2026-03-28 10:58:49
U-1104,laser_cutting,pass,-,-,2026-03-28 11:04:19
U-1104,bending,pass,-,-,2026-03-28 11:34:00
U-1104,welding,pass,-,-,2026-03-28 12:25:26
U-1105,laser_cutting,pass,-,-,2026-03-28 11:00:51
U-1105,bending,pass,-,-,2026-03-28 11:28:49
U-1105,welding,pass,-,-,2026-03-28 11:58:16
U-1106,laser_cutting,pass,-,-,2026-03-28 11:30:24
U-1106,bending,pass,-,-,2026-03-28 12:01:30
U-1106,welding,pass,-,-,2026-03-28 12:53:55
U-1107,laser_cutting,pass,-,-,2026-03-28 09:37:40
U-1107,bending,pass,-,-,2026-03-28 10:31:58
U-1107,welding,pass,-,-,2026-03-28 11:10:26
U-1108,laser_cutting,pass,-,-,2026-03-28 09:55:30
U-1108,bending,pass,-,-,2026-03-28 10:34:43
U-1108,welding,pass,-,-,2026-03-28 11:28:01
U-1109,laser_cutting,pass,-,-,2026-03-28 10:59:51
U-1109,bending,pass,-,-,2026-03-28 11:47:04
U-1109,welding,pass,-,-,2026-03-28 12:34:13
U-1110,laser_cutting,pass,-,-,2026-03-28 11:04:33
U-1110,bending,pass,-,-,2026-03-28 11:43:48
U-1110,welding,fail,burn_through,low,2026-03-28 12:15:12
U-1111,laser_cutting,pass,-,-,2026-03-28 09:10:27
U-1111,bending,pass,-,-,2026-03-28 09:48:00
U-1111,welding,fail,surface_porosity,low,2026-03-28 10:28:57
U-1112,laser_cutting,fail,incomplete_cut,medium,2026-03-28 09:42:39
U-1112,bending,pass,-,-,2026-03-28 10:22:10
U-1112,welding,fail,burn_through,low,2026-03-28 11:13:52
U-1113,laser_cutting,pass,-,-,2026-03-28 09:12:02
U-1113,bending,pass,-,-,2026-03-28 10:08:36
U-1113,welding,pass,-,-,2026-03-28 10:39:49
U-1114,laser_cutting,pass,-,-,2026-03-28 10:37:12
U-1114,bending,fail,angle_deviation,medium,2026-03-28 11:25:14
U-1114,welding,pass,-,-,2026-03-28 11:58:15
U-1115,laser_cutting,pass,-,-,2026-03-28 10:45:28
U-1115,bending,pass,-,-,2026-03-28 11:33:32
U-1115,welding,pass,-,-,2026-03-28 12:15:17
U-1116,laser_cutting,pass,-,-,2026-03-28 11:28:49
U-1116,bending,pass,-,-,2026-03-28 12:17:33
U-1116,welding,pass,-,-,2026-03-28 12:40:34
U-1117,laser_cutting,pass,-,-,2026-03-28 10:17:37
U-1117,bending,pass,-,-,2026-03-28 11:07:33
U-1117,welding,pass,-,-,2026-03-28 11:59:03
U-1118,laser_cutting,pass,-,-,2026-03-28 09:32:09
U-1118,bending,pass,-,-,2026-03-28 10:15:12
U-1118,welding,pass,-,-,2026-03-28 10:37:38
U-1119,laser_cutting,pass,-,-,2026-03-28 09:14:22
U-1119,bending,pass,-,-,2026-03-28 09:58:07
U-1119,welding,pass,-,-,2026-03-28 10:28:54
U-1120,laser_cutting,pass,-,-,2026-03-28 11:18:30
U-1120,bending,fail,surface_crack,low,2026-03-28 12:07:13
U-1120,welding,pass,-,-,2026-03-28 12:47:27
U-1121,laser_cutting,pass,-,-,2026-03-28 08:55:33
U-1121,bending,pass,-,-,2026-03-28 09:25:33
U-1121,welding,pass,-,-,2026-03-28 10:07:58
U-1122,laser_cutting,pass,-,-,2026-03-28 10:11:31
U-1122,bending,pass,-,-,2026-03-28 10:53:34
U-1122,welding,fail,surface_porosity,medium,2026-03-28 11:43:49
U-1123,laser_cutting,pass,-,-,2026-03-28 10:19:07
U-1123,bending,fail,springback,medium,2026-03-28 10:49:56
U-1123,welding,pass,-,-,2026-03-28 11:40:36
U-1124,laser_cutting,pass,-,-,2026-03-28 10:01:59
U-1124,bending,pass,-,-,2026-03-28 10:26:06
U-1124,welding,pass,-,-,2026-03-28 11:20:54
U-1125,laser_cutting,pass,-,-,2026-03-28 09:05:21
U-1125,bending,pass,-,-,2026-03-28 09:56:46
U-1125,welding,pass,-,-,2026-03-28 10:46:52
U-1126,laser_cutting,pass,-,-,2026-03-28 09:39:25
U-1126,bending,pass,-,-,2026-03-28 09:59:07
U-1126,welding,fail,surface_porosity,high,2026-03-28 10:50:58
U-1127,laser_cutting,pass,-,-,2026-03-28 10:36:24
U-1127,bending,pass,-,-,2026-03-28 11:28:22
U-1127,welding,pass,-,-,2026-03-28 11:59:30
U-1128,laser_cutting,pass,-,-,2026-03-28 11:09:47
U-1128,bending,pass,-,-,2026-03-28 11:28:48
U-1128,welding,pass,-,-,2026-03-28 12:12:48
U-1129,laser_cutting,pass,-,-,2026-03-28 10:26:55
U-1129,bending,pass,-,-,2026-03-28 10:54:33
U-1129,welding,pass,-,-,2026-03-28 11:33:14
U-1130,laser_cutting,pass,-,-,2026-03-28 11:07:06
U-1130,bending,pass,-,-,2026-03-28 12:03:30
U-1130,welding,pass,-,-,2026-03-28 12:57:15
U-1131,laser_cutting,pass,-,-,2026-03-28 10:12:41
U-1131,bending,pass,-,-,2026-03-28 11:02:07
U-1131,welding,pass,-,-,2026-03-28 11:59:32
U-1132,laser_cutting,pass,-,-,2026-03-28 09:12:58
U-1132,bending,pass,-,-,2026-03-28 09:49:36
U-1132,welding,pass,-,-,2026-03-28 10:21:55
U-1133,laser_cutting,pass,-,-,2026-03-28 10:33:40
U-1133,bending,pass,-,-,2026-03-28 11:04:46
U-1133,welding,pass,-,-,2026-03-28 11:34:58
U-1134,laser_cutting,pass,-,-,2026-03-28 09:24:33
U-1134,bending,pass,-,-,2026-03-28 10:14:54
U-1134,welding,pass,-,-,2026-03-28 10:38:42
U-1135,laser_cutting,pass,-,-,2026-03-28 09:52:58
U-1135,bending,pass,-,-,2026-03-28 10:17:12
U-1135,welding,pass,-,-,2026-03-28 10:52:55
U-1136,laser_cutting,pass,-,-,2026-03-28 11:24:58
U-1136,bending,pass,-,-,2026-03-28 12:00:42
U-1136,welding,pass,-,-,2026-03-28 12:37:09
U-1137,laser_cutting,pass,-,-,2026-03-28 09:45:19
U-1137,bending,pass,-,-,2026-03-28 10:40:12
U-1137,welding,pass,-,-,2026-03-28 11:18:10
U-1138,laser_cutting,pass,-,-,2026-03-28 10:51:51
U-1138,bending,pass,-,-,2026-03-28 11:43:16
U-1138,welding,fail,weak_joint,low,2026-03-28 12:27:09
U-1139,laser_cutting,pass,-,-,2026-03-28 08:55:52
U-1139,bending,pass,-,-,2026-03-28 09:40:09
U-1139,welding,pass,-,-,2026-03-28 10:25:21
U-1140,laser_cutting,pass,-,-,2026-03-28 11:30:48
U-1140,bending,pass,-,-,2026-03-28 12:19:30
U-1140,welding,pass,-,-,2026-03-28 13:00:37
U-1141,laser_cutting,pass,-,-,2026-03-28 10:49:51
U-1141,bending,pass,-,-,2026-03-28 11:39:51
U-1141,welding,fail,surface_porosity,medium,2026-03-28 12:18:26
U-1142,laser_cutting,pass,-,-,2026-03-28 09:36:10
U-1142,bending,pass,-,-,2026-03-28 09:54:31
U-1142,welding,pass,-,-,2026-03-28 10:27:48
U-1143,laser_cutting,pass,-,-,2026-03-28 08:46:12
U-1143,bending,pass,-,-,2026-03-28 09:33:37
U-1143,welding,pass,-,-,2026-03-28 10:26:57
U-1144,laser_cutting,pass,-,-,2026-03-28 09:59:21
U-1144,bending,pass,-,-,2026-03-28 10:25:54
U-1144,welding,pass,-,-,2026-03-28 11:14:10
U-1145,laser_cutting,pass,-,-,2026-03-28 11:22:24
U-1145,bending,pass,-,-,2026-03-28 11:51:04
U-1145,welding,pass,-,-,2026-03-28 12:45:22
U-1146,laser_cutting,pass,-,-,2026-03-28 10:18:10
U-1146,bending,fail,angle_deviation,low,2026-03-28 10:56:20
U-1146,welding,fail,weak_joint,low,2026-03-28 11:48:04
U-1147,laser_cutting,pass,-,-,2026-03-28 08:49:41
U-1147,bending,pass,-,-,2026-03-28 09:10:19
U-1147,welding,pass,-,-,2026-03-28 09:54:31
U-1148,laser_cutting,pass,-,-,2026-03-28 10:22:50
U-1148,bending,fail,surface_crack,low,2026-03-28 11:04:52
U-1148,welding,pass,-,-,2026-03-28 11:58:05
U-1149,laser_cutting,pass,-,-,2026-03-28 09:08:59
U-1149,bending,pass,-,-,2026-03-28 09:41:40
U-1149,welding,pass,-,-,2026-03-28 10:10:43
U-1150,laser_cutting,pass,-,-,2026-03-28 09:35:42
U-1150,bending,pass,-,-,2026-03-28 10:00:04
U-1150,welding,pass,-,-,2026-03-28 10:41:28
U-1151,laser_cutting,fail,incomplete_cut,low,2026-03-28 08:59:58
U-1151,bending,pass,-,-,2026-03-28 09:38:53
U-1151,welding,fail,surface_porosity,low,2026-03-28 10:28:37
U-1152,laser_cutting,pass,-,-,2026-03-28 11:06:51
U-1152,bending,pass,-,-,2026-03-28 11:54:55
U-1152,welding,pass,-,-,2026-03-28 12:28:43
U-1153,laser_cutting,pass,-,-,2026-03-28 10:59:28
U-1153,bending,fail,springback,high,2026-03-28 11:45:12
U-1153,welding,fail,surface_porosity,medium,2026-03-28 12:15:58
U-1154,laser_cutting,pass,-,-,2026-03-28 11:03:43
U-1154,bending,pass,-,-,2026-03-28 11:47:17
U-1154,welding,pass,-,-,2026-03-28 12:27:54
U-1155,laser_cutting,pass,-,-,2026-03-28 08:53:46
U-1155,bending,pass,-,-,2026-03-28 09:49:59
U-1155,welding,pass,-,-,2026-03-28 10:19:18
U-1156,laser_cutting,pass,-,-,2026-03-28 09:54:47
U-1156,bending,pass,-,-,2026-03-28 10:27:36
U-1156,welding,pass,-,-,2026-03-28 11:09:39
U-1157,laser_cutting,pass,-,-,2026-03-28 10:57:03
U-1157,bending,pass,-,-,2026-03-28 11:36:57
U-1157,welding,pass,-,-,2026-03-28 12:30:29
U-1158,laser_cutting,pass,-,-,2026-03-28 09:15:30
U-1158,bending,pass,-,-,2026-03-28 09:54:04
U-1158,welding,pass,-,-,2026-03-28 10:21:27
U-1159,laser_cutting,pass,-,-,2026-03-28 10:09:04
U-1159,bending,pass,-,-,2026-03-28 10:54:00
U-1159,welding,pass,-,-,2026-03-28 11:29:22
U-1160,laser_cutting,pass,-,-,2026-03-28 11:06:48
U-1160,bending,pass,-,-,2026-03-28 11:56:09
U-1160,welding,pass,-,-,2026-03-28 12:35:35
U-1161,laser_cutting,pass,-,-,2026-03-28 10:16:24
U-1161,bending,pass,-,-,2026-03-28 11:16:42
U-1161,welding,pass,-,-,2026-03-28 12:12:36
U-1162,laser_cutting,pass,-,-,2026-03-28 10:39:23
U-1162,bending,pass,-,-,2026-03-28 11:17:22
U-1162,welding,pass,-,-,2026-03-28 11:55:59
U-1163,laser_cutting,pass,-,-,2026-03-28 11:11:48
U-1163,bending,pass,-,-,2026-03-28 11:41:03
U-1163,welding,pass,-,-,2026-03-28 12:17:18
U-1164,laser_cutting,pass,-,-,2026-03-28 09:15:16
U-1164,bending,pass,-,-,2026-03-28 09:48:49
U-1164,welding,pass,-,-,2026-03-28 10:33:58
U-1165,laser_cutting,pass,-,-,2026-03-28 08:20:24
U-1165,bending,pass,-,-,2026-03-28 08:45:49
U-1165,welding,pass,-,-,2026-03-28 09:21:30
U-1166,laser_cutting,pass,-,-,2026-03-28 08:58:59
U-1166,bending,pass,-,-,2026-03-28 09:47:30
U-1166,welding,pass,-,-,2026-03-28 10:34:04
U-1167,laser_cutting,pass,-,-,2026-03-28 10:34:47
U-1167,bending,pass,-,-,2026-03-28 11:06:46
U-1167,welding,pass,-,-,2026-03-28 11:53:00
U-1168,laser_cutting,fail,incomplete_cut,high,2026-03-28 09:00:21
U-1168,bending,pass,-,-,2026-03-28 09:30:35
U-1168,welding,fail,surface_porosity,medium,2026-03-28 09:59:03
U-1169,laser_cutting,pass,-,-,2026-03-28 08:27:03
U-1169,bending,pass,-,-,2026-03-28 09:04:56
U-1169,welding,pass,-,-,2026-03-28 09:30:15
U-1170,laser_cutting,pass,-,-,2026-03-28 08:54:15
U-1170,bending,pass,-,-,2026-03-28 09:44:42
U-1170,welding,pass,-,-,2026-03-28 10:36:17
U-1171,laser_cutting,pass,-,-,2026-03-28 11:24:43
U-1171,bending,pass,-,-,2026-03-28 11:58:45
U-1171,welding,fail,surface_porosity,low,2026-03-28 12:32:25
U-1172,laser_cutting,pass,-,-,2026-03-28 11:05:26
U-1172,bending,pass,-,-,2026-03-28 11:58:36
U-1172,welding,pass,-,-,2026-03-28 12:31:28
U-1173,laser_cutting,pass,-,-,2026-03-28 09:13:07
U-1173,bending,pass,-,-,2026-03-28 09:42:43
U-1173,welding,pass,-,-,2026-03-28 10:15:26
U-1174,laser_cutting,pass,-,-,2026-03-28 10:30:06
U-1174,bending,pass,-,-,2026-03-28 11:17:11
U-1174,welding,pass,-,-,2026-03-28 11:38:29
U-1175,laser_cutting,pass,-,-,2026-03-28 08:51:34
U-1175,bending,pass,-,-,2026-03-28 09:32:43
U-1175,welding,fail,burn_through,medium,2026-03-28 10:11:22
U-1176,laser_cutting,pass,-,-,2026-03-28 10:04:01
U-1176,bending,pass,-,-,2026-03-28 10:42:18
U-1176,welding,pass,-,-,2026-03-28 11:13:48
U-1177,laser_cutting,pass,-,-,2026-03-28 09:48:57
U-1177,bending,pass,-,-,2026-03-28 10:43:39
U-1177,welding,pass,-,-,2026-03-28 11:33:02
U-1178,laser_cutting,pass,-,-,2026-03-28 10:01:32
U-1178,bending,pass,-,-,2026-03-28 10:30:19
U-1178,welding,fail,surface_porosity,low,2026-03-28 11:02:24
U-1179,laser_cutting,pass,-,-,2026-03-28 11:03:21
U-1179,bending,pass,-,-,2026-03-28 11:45:13
U-1179,welding,fail,weak_joint,medium,2026-03-28 12:32:35
U-1180,laser_cutting,pass,-,-,2026-03-28 11:29:42
U-1180,bending,pass,-,-,2026-03-28 12:13:55
U-1180,welding,pass,-,-,2026-03-28 13:12:18
U-1181,laser_cutting,pass,-,-,2026-03-28 09:47:48
U-1181,bending,pass,-,-,2026-03-28 10:30:34
U-1181,welding,fail,surface_porosity,high,2026-03-28 11:02:30
U-1182,laser_cutting,fail,edge_burr,low,2026-03-28 09:20:35
U-1182,bending,pass,-,-,2026-03-28 09:53:19
U-1182,welding,fail,burn_through,low,2026-03-28 10:40:04
U-1183,laser_cutting,pass,-,-,2026-03-28 09:45:27
U-1183,bending,pass,-,-,2026-03-28 10:31:43
U-1183,welding,fail,surface_porosity,medium,2026-03-28 11:04:49
U-1184,laser_cutting,pass,-,-,2026-03-28 10:27:59
U-1184,bending,pass,-,-,2026-03-28 11:11:10
U-1184,welding,pass,-,-,2026-03-28 11:53:10
U-1185,laser_cutting,pass,-,-,2026-03-28 09:16:53
U-1185,bending,pass,-,-,2026-03-28 09:38:43
U-1185,welding,pass,-,-,2026-03-28 10:23:10
U-1186,laser_cutting,pass,-,-,2026-03-28 08:31:00
U-1186,bending,pass,-,-,2026-03-28 09:15:21
U-1186,welding,fail,burn_through,low,2026-03-28 09:38:51
U-1187,laser_cutting,pass,-,-,2026-03-28 09:43:26
U-1187,bending,pass,-,-,2026-03-28 10:01:15
U-1187,welding,fail,burn_through,medium,2026-03-28 10:29:03
U-1188,laser_cutting,pass,-,-,2026-03-28 10:17:58
U-1188,bending,fail,angle_deviation,medium,2026-03-28 10:43:21
U-1188,welding,pass,-,-,2026-03-28 11:34:30
U-1189,laser_cutting,pass,-,-,2026-03-28 11:45:30
U-1189,bending,pass,-,-,2026-03-28 12:22:01
U-1189,welding,fail,surface_porosity,low,2026-03-28 12:45:26
U-1190,laser_cutting,pass,-,-,2026-03-28 10:50:55
U-1190,bending,pass,-,-,2026-03-28 11:30:37
U-1190,welding,pass,-,-,2026-03-28 12:11:12
U-1191,laser_cutting,pass,-,-,2026-03-28 09:16:03
U-1191,bending,pass,-,-,2026-03-28 09:55:07
U-1191,welding,pass,-,-,2026-03-28 10:39:42
U-1192,laser_cutting,fail,incomplete_cut,high,2026-03-28 10:08:30
U-1192,bending,pass,-,-,2026-03-28 10:55:57
U-1192,welding,pass,-,-,2026-03-28 11:32:48
U-1193,laser_cutting,pass,-,-,2026-03-28 10:50:23
U-1193,bending,pass,-,-,2026-03-28 11:45:41
U-1193,welding,pass,-,-,2026-03-28 12:20:57
U-1194,laser_cutting,pass,-,-,2026-03-28 09:42:33
U-1194,bending,pass,-,-,2026-03-28 10:35:02
U-1194,welding,pass,-,-,2026-03-28 11:22:58
U-1195,laser_cutting,pass,-,-,2026-03-28 10:10:11
U-1195,bending,pass,-,-,2026-03-28 10:45:52
U-1195,welding,pass,-,-,2026-03-28 11:32:48
U-1196,laser_cutting,pass,-,-,2026-03-28 09:05:48
U-1196,bending,pass,-,-,2026-03-28 09:48:48
U-1196,welding,fail,surface_porosity,low,2026-03-28 10:17:40
