unit_id,quote_id,material_type,thickness_mm,batch_id,weight_kg
U-1226,Q-3019,galvanized_steel,2.0,MB-2206,2.56
U-1227,Q-3014,galvanized_steel,2.0,MB-2220,1.74
U-1228,Q-3002,stainless_steel_304,3.0,MB-2214,2.22
U-1229,Q-3012,stainless_steel_304,2.0,MB-2209,2.28
U-1230,Q-3000,galvanized_steel,2.0,MB-2222,1.55
U-1231,Q-3008,aluminum_5754,2.5,MB-2223,1.43
U-1232,Q-3002,stainless_steel_304,4.0,MB-2204,1.29
U-1233,Q-3008,stainless_steel_304,2.5,MB-2212,2.63
U-1234,Q-3005,stainless_steel_304,1.5,MB-2206,1.66
U-1235,Q-3019,galvanized_steel,2.5,MB-2207,2.66
U-1236,Q-3004,aluminum_5754,2.0,MB-2214,1.96
U-1237,Q-3012,stainless_steel_304,3.0,MB-2204,1.21
U-1238,Q-3004,stainless_steel_304,2.0,MB-2204,1.72
U-1239,Q-3005,aluminum_5754,2.5,MB-2223,3.37
U-1240,Q-3006,aluminum_5754,1.5,MB-2204,2.21
U-1241,Q-3018,stainless_steel_304,2.5,MB-2213,1.13
U-1242,Q-3013,stainless_steel_304,3.0,MB-2209,1.27
U-1243,Q-3011,aluminum_5754,2.0,MB-2210,2.72
U-1244,Q-3010,stainless_steel_304,1.5,MB-2219,1.01
U-1245,Q-3001,stainless_steel_304,1.5,MB-2217,1.79
U-1246,Q-3008,aluminum_5754,2.5,MB-2212,2.3
U-1247,Q-3017,aluminum_5754,3.0,MB-2217,2.6
U-1248,Q-3008,aluminum_5754,2.5,MB-2218,3.45
U-1249,Q-3015,galvanized_steel,2.5,MB-2215,1.13
U-1250,Q-3006,aluminum_5754,4.0,MB-2221,1.45
U-1251,Q-3011,aluminum_5754,1.5,MB-2209,2.74
U-1252,Q-3015,aluminum_5754,4.0,MB-2218,3.36
U-1253,Q-3010,aluminum_5754,3.0,MB-2210,1.8
U-1254,Q-3012,stainless_steel_304,2.5,MB-2213,1.58
U-1255,Q-3012,aluminum_5754,2.5,MB-2223,2.1
U-1256,Q-3007,galvanized_steel,3.0,MB-2222,2.35
U-1257,Q-3017,galvanized_steel,3.0,MB-2202,2.54
U-1258,Q-3019,galvanized_steel,4.0,MB-2213,1.0
U-1259,Q-3017,galvanized_steel,4.0,MB-2214,1.18
U-1260,Q-3010,stainless_steel_304,1.5,MB-2212,1.09
U-1261,Q-3008,galvanized_steel,2.0,MB-2207,2.0
U-1262,Q-3013,aluminum_5754,1.5,MB-2224,2.17
U-1263,Q-3019,aluminum_5754,3.0,MB-2216,2.47
U-1264,Q-3001,aluminum_5754,1.5,MB-2224,1.27
U-1265,Q-3000,stainless_steel_304,4.0,MB-2211,2.97
U-1266,Q-3013,galvanized_steel,3.0,MB-2211,3.36
U-1267,Q-3000,galvanized_steel,1.5,MB-2208,3.48
U-1268,Q-3016,aluminum_5754,2.0,MB-2214,3.08
U-1269,Q-3009,stainless_steel_304,2.0,MB-2203,1.09
U-1270,Q-3006,galvanized_steel,1.5,MB-2217,3.42
U-1271,Q-3011,aluminum_5754,4.0,MB-2210,1.43
U-1272,Q-3017,aluminum_5754,2.5,MB-2203,1.38
U-1273,Q-3010,galvanized_steel,3.0,MB-2204,1.09
U-1274,Q-3002,aluminum_5754,2.0,MB-2209,1.98
U-1275,Q-3016,aluminum_5754,3.0,MB-2208,3.02
U-1276,Q-3002,galvanized_steel,1.5,MB-2215,2.02
U-1277,Q-3005,stainless_steel_304,3.0,MB-2206,2.24
U-1278,Q-3017,galvanized_steel,1.5,MB-2208,3.13
U-1279,Q-3003,galvanized_steel,2.5,MB-2224,3.06
U-1280,Q-3001,galvanized_steel,2.5,MB-2206,1.67
U-1281,Q-3015,aluminum_5754,2.5,MB-2216,3.13
U-1282,Q-3011,stainless_steel_304,2.0,MB-2204,3.33
U-1283,Q-3005,galvanized_steel,1.5,MB-2213,3.2
U-1284,Q-3004,galvanized_steel,3.0,MB-2211,1.01
U-1285,Q-3010,aluminum_5754,1.5,MB-2214,3.04
U-1286,Q-3018,galvanized_steel,1.5,MB-2214,1.72
U-1287,Q-3019,aluminum_5754,2.5,MB-2224,1.65
U-1288,Q-3010,aluminum_5754,1.5,MB-2210,2.9
U-1289,Q-3016,aluminum_5754,2.0,MB-2205,2.58
U-1290,Q-3007,aluminum_5754,1.5,MB-2204,2.93
U-1291,Q-3017,aluminum_5754,3.0,MB-2222,2.18
